Carpet Area,BHK,House Type,Furnishing,Address,Price
5800 sqft,3,Villa,Unfurnished,Bakrol Vadtal Road Anand,"₹
3.25 Cr"
70000 sqft,10,Farm House,Furnished,Petlad Anand,"₹
40 Cr"
1500 sqft,3,House,Unfurnished,Anand Sojitra Road Anand,"₹
70 Lac"
1250 sqft,3,House,Semi-Furnished,Bakrol Lambhvel Road Anand,"₹
50 Lac"
1150 sqft,2,Apartment,Unfurnished,"Shashwat landmark, Karamsad Anand","₹
30 Lac"
2894 sqft,4,House,Furnished,"Shaligram Greens, Bakrol Anand","₹
3.75 Cr"
450 sqft,2,Apartment,Unfurnished,Ganesh Chokdi Anand,"₹
18.5 Lac"
75 sqft,3,House,Semi-Furnished,Anand,"₹
18.5 Lac"
1600 sqft,4,Apartment,Unfurnished,"Dev Sparsh, 80 Feet Road Anand","₹
65 Lac"
550 sqft,1,House,Unfurnished,Bakrol Vadtal Road Anand,"₹
30.5 Lac"
1100 sqft,3,House,Unfurnished,Mogri Gana Road Anand,"₹
36 Lac"
760 sqft,3,House,Furnished,Mogri Gana Road Anand,"₹
54.5 Lac"
1100 sqft,3,House,Unfurnished,Jitodiya Road Anand,"₹
48 Lac"
1100 sqft,2,Apartment,Unfurnished,Abhisek flat Anand,"₹
25 Lac"
820 sqft,2,Apartment,Furnished,Anand Sojitra Road Anand,"₹
25 Lac"
1550 sqft,4,House,Semi-Furnished,Mota Bazar Anand,"₹
45 Lac"
1885 sqft,3,Apartment,Semi-Furnished,80 Feet Road Anand,"₹
62 Lac"
1400 sqft,3,House,Unfurnished,Karamsad Anand,"₹
13.5 Lac"
90 sqyrd,1,Apartment,N/A,sidhhi vinayak flat Anand,"₹
9 Lac"
2000 sqft,4,Villa,Semi-Furnished,Lambhvel Anand,"₹
1.15 Cr"
1000 sqft,2,Apartment,Semi-Furnished,Amul Dairy Road Anand,"₹
33 Lac"
1000 sqft,3,House,Unfurnished,Bakrol Vadtal Road Anand,"₹
34 Lac"
1500 sqft,4,Villa,Furnished,Vallabh Vidyanagar Anand,"₹
99.5 Lac"
3100 sqft,4,Villa,Semi-Furnished,Blue Veda 2 Anand,"₹
1.48 Cr"
1400 sqft,3,House,Unfurnished,"Kirtan bungalow, Lambhvel Anand","₹
45 Lac"
1200 sqft,3,House,Furnished,b3 Anand,"₹
52 Lac"
102 sqm,2,Apartment,Furnished,Old RTO Road Anand Anand,"₹
26 Lac"
1260 sqft,3,House,Semi-Furnished,Vallabh Vidyanagar Anand,"₹
75 Lac"
1140 sqft,2,House,Unfurnished,Borsad Road Anand,"₹
35 Lac"
841 sqft,2,House,Unfurnished,Anand Vidyanagar Road Anand,"₹
65 Lac"
700 sqft,2,Apartment,Semi-Furnished,Ganesh Chokdi Anand,"₹
14.5 Lac"
900 sqft,2,Apartment,Unfurnished,Mapple oasis Anand,"₹
21 Lac"
N/A,2,Apartment,Unfurnished,Ganesh Chokdi Anand,"₹
26 Lac"
753 sqft,2,Apartment,Semi-Furnished,Ganesh Chokdi Anand,"₹
18 Lac"
1700 sqft,3,House,Semi-Furnished,Karamsad Anand,"₹
70 Lac"
1100 sqft,3,Apartment,Furnished,Anand Sojitra Road Anand,"₹
55 Lac"
1200 sqft,3,Apartment,Semi-Furnished,"Sukirtan Aura, Karamsad Road Anand","₹
30 Lac"
1100 sqft,3,House,Furnished,27 Narayan vatika Anand,"₹
55 Lac"
1100 sqft,2,Apartment,Unfurnished,"Ansh Dev Nandan, NDDB-Jagnath Road Anand","₹
45 Lac"
750 sqft,3,House,Furnished,Anand Sojitra Road Anand,"₹
55 Lac"
1550 sqft,3,House,Semi-Furnished,Nanikhodiyar Anand,"₹
60 Lac"
125000 sqft,3,Farm House,Furnished,Vasad Anand,"₹
3.50 Cr"
1600 sqft,3,Villa,N/A,Lambhvel Road Vishwakarma Society Anand,"₹
34 Lac"
