Carpet Area,BHK,House Type,Furnishing,Address,Price
1200 sqft,3,Villa,Semi-Furnished,Kapadwanj Road Nadiad,"₹
50 Lac"
1000 sqft,2,Apartment,Unfurnished,Petlad Road Nadiad,"₹
29.2 Lac"
1250 sqft,3,Apartment,Unfurnished,Uttarsanda Nadiad,"₹
53 Lac"
1600 sqft,4,House,Semi-Furnished,salon bazar Nadiad,"₹
27 Lac"
120 sqm,4,House,Unfurnished,Manjipura Nadiad,"₹
42 Lac"
1850 sqft,2,House,Semi-Furnished,"6, Ratnasagar society Opp Kidney hospital petlad road Nadiad Nadiad","₹
80 Lac"
1200 sqft,3,Villa,Furnished,karmvir sunderbaug Nadiad,"₹
40 Lac"
1500 sqft,4,House,Unfurnished,karmveer sundarvan Nadiad,"₹
40 Lac"
120 sqft,2,House,Furnished,Chandra Darshan Society Nadiad,"₹
32 Lac"
200 sqft,2,Apartment,Furnished,"Akshar heights, pij cross road Nadiad","₹
19 Lac"
2000 sqft,5,House,Unfurnished,GUTAL Nadiad,"₹
40 Lac"
1818 sqft,3,House,Unfurnished,Manjipura Nadiad,"₹
52 Lac"
1000 sqft,3,Apartment,Semi-Furnished,College Road Nadiad,"₹
40 Lac"
1250 sqft,2,Apartment,Semi-Furnished,Yogi Nagar Nadiad,"₹
18 Lac"
850 sqft,2,Apartment,Semi-Furnished,College Road Nadiad,"₹
25 Lac"
378 sqft,2,House,Furnished,Gandhi pole Nadiad,"₹
20 Lac"
1900 sqft,4,House,Unfurnished,Santram Deri Road Nadiad,"₹
1.25 Cr"
800 sqft,2,Apartment,Unfurnished,Ram Talavdi Nadiad,"₹
23.5 Lac"
75 sqyrd,1,Apartment,Furnished,Kanipura Nadiad,"₹
25 Lac"
1050 sqft,5,House,Semi-Furnished,College Road Nadiad,"₹
2.25 Cr"
800 sqft,2,Apartment,Unfurnished,Manjipura Nadiad,"₹
12 Lac"
87 sqm,2,House,Unfurnished,"B-54, Sai dham society,Kison samosa no khacho, college road, Nadiad Nadiad","₹
32 Lac"
800 sqft,1,Apartment,Furnished,"virgo complex, Vaishali Cinema Road Nadiad","₹
13 Lac"
90 sqyrd,2,House,Unfurnished,Ram Talavdi Nadiad,"₹
35 Lac"
750 sqft,2,Apartment,Semi-Furnished,Mai Mandir Nadiad,"₹
18 Lac"
1699 sqft,3,Villa,Unfurnished,Manjipura Nadiad,"₹
30 Lac"
1000 sqft,2,Villa,Semi-Furnished,kheda Nadiad,"₹
30 Lac"
1229 sqft,2,Apartment,Unfurnished,Vaniya Vad Nadiad,"₹
28 Lac"
2800 sqft,3,N/A,Unfurnished,College Road Nadiad,"₹
80 Lac"
40 sqm,3,House,Unfurnished,Manjipura Nadiad,"₹
25 Lac"
1200 sqft,4,House,Furnished,manjipura road Nadiad,"₹
33.5 Lac"
500 sqft,1,N/A,Furnished,Vaishali Cinema Road Nadiad,"₹
15 Lac"
1600 sqft,5,House,Furnished,Ayodhyapuri Society Nadiad,"₹
30.9 Lac"
670 sqft,2,Apartment,Unfurnished,Vaniya Vad Nadiad,"₹
45 Lac"
1200 sqft,4,House,Unfurnished,Chakdaha Nadiad,"₹
90 Lac"
1824 sqft,3,Villa,Unfurnished,Petlad Road Nadiad,"₹
1.30 Cr"
3326 sqft,2,Villa,Unfurnished,Gutal Bridge Road Nadiad,"₹
48.5 Lac"
90 sqm,2,Apartment,Furnished,Akshar Township Nadiad,"₹
30 Lac"
1500 sqft,3,House,Semi-Furnished,Pij Road Nadiad,"₹
32 Lac"
2 sqft,2,Farm House,Unfurnished,Kapadvanj Road Nadiad,"₹
3.70 Cr"
1000 sqft,2,Apartment,Furnished,Kheda Nadiad,"₹
14 Lac"
1717 sqft,3,Villa,Furnished,Pij Road Nadiad,"₹
93 Lac"
500 sqft,2,House,Unfurnished,"Prashant Colony, Mission Road, Nadiad","₹
18 Lac"
1250 sqft,3,Apartment,Unfurnished,Manjipura Nadiad,"₹
46 Lac"
650 sqft,1,N/A,Semi-Furnished,Mai Mandir Road Nadiad,"₹
10 Lac"
2000 sqft,4,N/A,Semi-Furnished,Pij Road Nadiad,"₹
40 Lac"
55 guntha,3,House,Semi-Furnished,Dabhan Nadiad,"₹
75 Lac"
2050 sqft,3,Apartment,Semi-Furnished,karamvir samrajya Nadiad,"₹
45 Lac"
170 sqm,3,House,Unfurnished,Dabhan Road Nadiad,"₹
70 Lac"
600 sqft,2,Apartment,Unfurnished,Dabhan Road Nadiad,"₹
21 Lac"
800 sqft,2,Apartment,Furnished,Dabhan Road Nadiad,"₹
14 Lac"
1250 sqft,3,Apartment,Unfurnished,Vaniya Vad Nadiad,"₹
32 Lac"
5762 sqft,2,Apartment,Semi-Furnished,PARADISE AURA Nadiad,"₹
18 Lac"
1200 sqft,3,House,Semi-Furnished,Pavanchakki Road Nadiad,"₹
40 Lac"
660 sqft,2,Apartment,Semi-Furnished,Bhagwati Apartment Alhad Wago Nadiad,"₹
17.5 Lac"
484 sqft,2,House,Unfurnished,Pij Road Nadiad,"₹
20 Lac"
100 sqft,2,Apartment,Semi-Furnished,mission road Nadiad,"₹
21 Lac"
2250 sqft,3,House,Unfurnished,Sindusi Pol Nadiad,"₹
27 Lac"
1380 sqft,2,House,Semi-Furnished,Karmvir Nagar Nadiad,"₹
22 Lac"
900 sqft,2,Apartment,Semi-Furnished,College Road Nadiad,"₹
18 Lac"
45 sqyrd,2,House,Unfurnished,Nadiad,"₹
23.5 Lac"
600 sqft,2,Apartment,Unfurnished,Karmvir Nagar Nadiad,"₹
12.5 Lac"
1900 sqft,3,House,Semi-Furnished,Dabhan Nadiad,"₹
95 Lac"
750 sqft,2,House,Semi-Furnished,Pij Road Nadiad,"₹
35 Lac"
1500 sqft,3,Apartment,Unfurnished,Nadiad,"₹
56 Lac"
1800 sqft,4,House,Unfurnished,College Road Nadiad,"₹
58 Lac"
1000 sqft,2,House,Unfurnished,College Road Nadiad,"₹
35 Lac"
1088 sqft,3,House,Semi-Furnished,Akshar Township Nadiad,"₹
60 Lac"
986 sqft,2,Apartment,Unfurnished,Uttarsanda Nadiad,"₹
32.5 Lac"
700 sqft,2,Apartment,Unfurnished,Ram Talavdi Nadiad,"₹
17 Lac"
45 sqm,2,House,Semi-Furnished,sohangram society Nadiad,"₹
23 Lac"
900 sqft,2,Apartment,Unfurnished,"Blossom Aura, College Road Nadiad","₹
26 Lac"
1250 sqft,4,House,Furnished,Prakashnagar Nadiad,"₹
57 Lac"
1800 sqft,5,House,Semi-Furnished,Pij Road Nadiad,"₹
54 Lac"
2000 sqft,4,House,Unfurnished,Karmveer Sundarvan Nadiad,"₹
40 Lac"
700 sqft,3,House,Unfurnished,Karmvir Nagar Nadiad,"₹
25 Lac"
50000 sqft,2,House,Unfurnished,Dabhan Bhagole Nadiad,"₹
26 Lac"
995 sqft,3,House,Unfurnished,Manjipura Nadiad,"₹
32 Lac"
160 sqm,3,House,Semi-Furnished,Vaniya Vad Nadiad,"₹
65 Lac"
1800 sqft,3,Villa,Unfurnished,Vaishali Cinema Road Nadiad,"₹
65 Lac"
1200 sqft,3,House,Unfurnished,Manjipura Nadiad,"₹
32.5 Lac"
385 sqft,3,Villa,Unfurnished,Akshar Township Nadiad,"₹
30 Lac"
1500 sqft,3,House,Unfurnished,Akshar Township Nadiad,"₹
33 Lac"
2000 sqft,3,Villa,N/A,Vikasvilla Nadiad,"₹
72 Lac"
800 sqft,2,House,Unfurnished,Akshar Township Nadiad,"₹
24.5 Lac"
800 sqft,2,Apartment,Unfurnished,Manjipura Nadiad,"₹
13.5 Lac"
1000 sqft,2,Apartment,Unfurnished,Pij Road Nadiad,"₹
23.5 Lac"
2400 sqft,4,Villa,Unfurnished,Pij Road Nadiad,"₹
46 Lac"
85 sqm,3,House,Unfurnished,Pij Road Nadiad,"₹
30 Lac"
630 sqft,1,Apartment,Semi-Furnished,Civil Hospital Road Nadiad,"₹
12.5 Lac"
1020 sqft,2,House,Unfurnished,Akshar Township Nadiad,"₹
36 Lac"
105 sqft,3,House,Furnished,Vaniya Vad Nadiad,"₹
40 Lac"
1100 sqft,3,Apartment,Semi-Furnished,"Blossom Aura, College Road Nadiad",Call for Price
968 sqft,2,Apartment,N/A,Petlad Road Nadiad,Call for Price
