Carpet Area,BHK,House Type,Furnishing,Address,Price
6390 sqft,5,Apartment,Unfurnished,"Piramyd Palacia, Vesu Surat","₹
4.79 Cr"
1245 sqft,2,Apartment,Unfurnished,"Swagat Callista, Bamroli Surat","₹
46.7 Lac"
1247 sqft,2,Apartment,Unfurnished,"Prayosha Orchid, Dindoli Surat","₹
32.1 Lac"
1725 sqft,3,Apartment,Unfurnished,"Sai Parisar, Palanpur Surat","₹
74 Lac"
212 sqft,1,House,Unfurnished,Surat Surat,"₹
4.5 Lac"
1003 sqft,3,Apartment,Unfurnished,"RAMESWARAM Ivaan, Palanpur Surat","₹
73 Lac"
727 sqft,2,Apartment,Unfurnished,"Soham Elegance, Pal Surat","₹
51.6 Lac"
1281 sqft,3,Apartment,Unfurnished,"Avadh Habitat, Dumas Road Surat","₹
1.04 Cr"
5260 sqft,5,Apartment,Unfurnished,"Avadh Ercole, Vesu Surat","₹
3 Cr"
894 sqft,3,Apartment,Unfurnished,"Anand Aspire, Jahangirabad Surat","₹
56.7 Lac"
959 sqft,3,Apartment,Unfurnished,"Shilalekh Imperia, Pal Surat","₹
80.3 Lac"
1278 sqft,2,Apartment,Unfurnished,Althan Surat,"₹
45.4 Lac"
2300 sqft,3,Apartment,Unfurnished,"Grand Vissta, Vesu Surat","₹
1.21 Cr"
2400 sqft,4,Apartment,Furnished,"Harmony, Vesu Surat","₹
1.55 Cr"
1050 sqft,2,House,Unfurnished,Dindoli Surat,"₹
34.5 Lac"
469 sqyrd,3,Villa,Unfurnished,Athwa Surat,"₹
7.26 Cr"
1343 sqft,3,Apartment,Unfurnished,"The Prestige, Vesu Surat","₹
1.44 Cr"
750 sqft,6,House,Furnished,Parvat Patia Gaon Surat,"₹
75 Lac"
1375 sqft,3,Apartment,Unfurnished,Pramukh Satva Surat,"₹
1.28 Cr"
3250 sqft,4,Apartment,Unfurnished,"Sangini Epitome, Bhatha Surat","₹
1.54 Cr"
859 sqft,3,Apartment,Unfurnished,Jahangirabad Surat,"₹
39 Lac"
2100 sqft,4,Apartment,Unfurnished,Pal Surat,"₹
1.80 Cr"
746 sqft,2,Apartment,Unfurnished,"Rajhans Synfonia, Vesu Surat","₹
88 Lac"
1065 sqft,2,Apartment,Unfurnished,Dindoli Surat,"₹
26.5 Lac"
1210 sqft,2,Apartment,Furnished,"Keshav Height, Althan Surat","₹
68 Lac"
1100 sqft,2,Apartment,Unfurnished,Palanpur Surat,"₹
40 Lac"
90 sqyrd,2,Villa,Unfurnished,Olpad Sayan Road Surat,"₹
36.5 Lac"
680 sqft,2,Apartment,Unfurnished,"Shree Krishna Heritage, Dindoli Surat","₹
31.5 Lac"
340 sqft,1,Apartment,Unfurnished,Singanpor Surat,"₹
16 Lac"
750 sqft,2,House,Unfurnished,"Gruham Royal Park, Olpad Sayan Road Surat","₹
18.5 Lac"
1150 sqft,2,Apartment,Furnished,Nanpura Surat,"₹
40 Lac"
890 sqft,2,House,Unfurnished,Kamrej Char Rasta Surat,"₹
40 Lac"
827 sqft,3,Villa,Furnished,"Avadh Shangrila, Baleshwar Surat","₹
66 Lac"
850 sqft,2,Apartment,Furnished,Pal Road Surat,"₹
49 Lac"
698 sqft,2,Apartment,Unfurnished,Vanakala Surat,"₹
40.8 Lac"
700 sqft,2,Apartment,Semi-Furnished,"Vaishnodevi Residency, Dahin Nagar Surat","₹
35 Lac"
1395 sqft,2,Apartment,Unfurnished,"The Centrum, Jahangirabad Surat","₹
53 Lac"
2000 sqft,3,Apartment,Furnished,Bhatar Surat,"₹
55 Lac"
1815 sqft,3,Apartment,Unfurnished,Mota Varachha Surat,"₹
79 Lac"
1751 sqft,3,Apartment,Furnished,"Orchid Greens, Maroli Surat","₹
76 Lac"
112 sqyrd,4,House,Semi-Furnished,Adajan Surat,"₹
1.58 Cr"
560 sqft,2,House,Unfurnished,Dindoli Surat,"₹
54.5 Lac"
1283 sqft,2,Apartment,Unfurnished,"Nandini 3, Vesu Surat","₹
56 Lac"
3600 sqft,5,Apartment,Furnished,"Ravi Dham Sankul, Gohod Dor Oad Surat","₹
3 Cr"
915 sqft,2,Apartment,Semi-Furnished,"Shayona Janki Residency, Jahangirabad Surat","₹
35 Lac"
1515 sqft,3,Apartment,Semi-Furnished,"Shreepad Ethics, Palanpur Gam Surat","₹
60 Lac"
1200 sqft,2,Apartment,Unfurnished,"Rajhans Swapna, Varacha Surat","₹
38.7 Lac"
1500 sqft,3,Apartment,N/A,"Sundaram Residency, Bhestan Surat","₹
55 Lac"
750 sqft,2,Apartment,Unfurnished,"Orchid Fantasia, Palanpur Surat","₹
47.5 Lac"
37 sqm,1,House,Unfurnished,Kamrej Surat,"₹
72 Lac"
650 sqft,3,House,Unfurnished,Deladva Gam Surat,"₹
55 Lac"
3000 sqft,5,House,Furnished,Mandvi Surat,"₹
81 Lac"
2522 sqft,3,Apartment,Unfurnished,"Marion Residency, Dumas Road Surat","₹
1.14 Cr"
1490 sqft,4,Apartment,Unfurnished,Pal Surat,"₹
1.39 Cr"
1310 sqft,2,Apartment,Unfurnished,"Shreepad Panorama, Palanpur Gam Surat","₹
55 Lac"
951 sqft,2,Apartment,Unfurnished,"Nakshatra Galaxia, Palanpur Surat","₹
51 Lac"
600 sqft,2,Apartment,Furnished,time galxy Surat,"₹
46 Lac"
1811 sqft,3,Apartment,Unfurnished,Celista Surat,"₹
69.5 Lac"
1630 sqft,3,Apartment,Furnished,"Nakshatra Embassy, Palanpur Surat","₹
65 Lac"
2034 sqft,3,Apartment,Furnished,"Shukan Lifestyle, Pal Surat","₹
1.35 Cr"
1310 sqft,2,Apartment,Furnished,Vesu Surat,"₹
79 Lac"
3200 sqft,5,Apartment,Unfurnished,"Avadh Bertina, Vesu Surat","₹
3.59 Cr"
900 sqft,4,House,Unfurnished,Adajan Surat,"₹
1.40 Cr"
1450 sqft,3,Apartment,Semi-Furnished,Parley Point Surat,"₹
75 Lac"
900 sqft,2,House,Furnished,Adajan Surat,"₹
1.50 Cr"
504 sqft,2,House,Unfurnished,Olpad Surat,"₹
15 Lac"
104 sqm,5,House,Furnished,LP Savani Surat,"₹
1.75 Cr"
2400 sqft,6,Apartment,Furnished,"Green City, Bhatha Surat","₹
1.50 Cr"
1350 sqft,6,House,Unfurnished,Kamrej Surat,"₹
65 Lac"
3200 sqft,5,Apartment,Unfurnished,"Avantis Ofira Posh, Bharthana Surat","₹
3.49 Cr"
646 sqft,1,N/A,Unfurnished,Bardoli Surat,"₹
12 Lac"
1685 sqft,3,Apartment,Unfurnished,Adajan Surat,"₹
75 Lac"
920 sqft,3,Apartment,Unfurnished,"Raghuvir Spectrum, Vesu Surat","₹
86 Lac"
1500 sqft,3,Apartment,Semi-Furnished,"Pramukh Aranya 2, Godadara Surat","₹
51.5 Lac"
4100 sqft,4,Apartment,Unfurnished,"Rajhans Cremona, Vesu Surat","₹
2.66 Cr"
500 sqft,1,Apartment,Semi-Furnished,Pandesara Surat,"₹
22 Lac"
1500 sqft,4,Apartment,Furnished,"Happy Residency, Vesu Surat","₹
1.35 Cr"
635 sqft,1,Apartment,Semi-Furnished,Dindoli Surat,"₹
20 Lac"
1171 sqft,3,Apartment,Unfurnished,"Phoenix Towers, Vesu Surat","₹
1.12 Cr"
3575 sqft,4,Apartment,Furnished,"Om Icon, Vesu Surat","₹
2.80 Cr"
1307 sqft,2,Apartment,Unfurnished,"Soham Elegance, Pal Surat","₹
55.6 Lac"
945 sqft,2,Apartment,Semi-Furnished,"Nandan Enclave, Piplod Surat","₹
58 Lac"
1210 sqft,2,Apartment,Furnished,opera heights Surat,"₹
60 Lac"
2000 sqft,3,House,Semi-Furnished,"5 Square Point, Jahangirabad Surat","₹
85 Lac"
660 sqft,1,Apartment,Unfurnished,Amroli Surat,"₹
18 Lac"
1250 sqft,2,Apartment,Furnished,"Raj Hans Society, Adajan Patiya Surat","₹
60 Lac"
1250 sqft,2,Apartment,Unfurnished,"Orchid Fantasia, Palanpur Surat","₹
44 Lac"
1620 sqyrd,4,Villa,Furnished,Adajan Surat,"₹
1.70 Cr"
1230 sqft,2,Apartment,Semi-Furnished,"Lake Castle, Pal Gam Surat","₹
52 Lac"
480 sqft,1,Apartment,Semi-Furnished,"Vasu Recidency, Pal Surat","₹
25.1 Lac"
1200 sqft,3,Apartment,Semi-Furnished,Vesu Surat,"₹
1.50 Cr"
2250 sqft,3,Apartment,Unfurnished,VIP Road Surat,"₹
1.51 Cr"
1233 sqft,2,Apartment,Semi-Furnished,"ORCHID Harmony, Palanpur Gam Surat","₹
48 Lac"
1416 sqft,3,Apartment,Unfurnished,"Aagam Siddhi, Vesu Surat","₹
1.51 Cr"
1365 sqft,2,Apartment,Furnished,"Mangalam Heights, Vesu Surat","₹
58 Lac"
2040 sqft,3,Apartment,Furnished,"Sneh Sangini, Adajan Surat","₹
95 Lac"
1311 sqft,2,Apartment,Unfurnished,"Pramukh Amaya, Palanpur Surat","₹
55.7 Lac"
1665 sqft,3,Apartment,Unfurnished,"Vaishnodevi Kingswood, Jahangirabad Surat","₹
53.3 Lac"
2200 sqft,4,Apartment,Unfurnished,"Sangini Arise, Vesu Surat","₹
3.66 Cr"
925 sqft,2,Apartment,Unfurnished,Katar Gam Surat,"₹
22 Lac"
129 sqyrd,3,Apartment,Semi-Furnished,"Vama Apex, Althan Surat","₹
85 Lac"
1800 sqft,3,Villa,Unfurnished,Masma Village Surat,"₹
37 Lac"
3047 sqft,4,Apartment,Unfurnished,"Freedom Tower, Vesu Surat","₹
1.80 Cr"
5900 sqft,5,Apartment,Semi-Furnished,Vesu Canal Road Surat,"₹
4.51 Cr"
1950 sqft,3,Apartment,Semi-Furnished,"Bhakti Victory Shoppers, Pal Surat","₹
85 Lac"
1251 sqft,2,Apartment,Semi-Furnished,"Soham, Pal Gam Surat","₹
51 Lac"
5338 sqft,6,Apartment,Unfurnished,"Avadh Ercole, Vesu Surat","₹
5.72 Cr"
645 sqft,2,Apartment,Unfurnished,"Sai Enclave, Althan Surat","₹
45 Lac"
2800 sqft,5,Apartment,Unfurnished,"Casa Rivera, Pal Surat","₹
3.57 Cr"
750 sqft,2,Apartment,Furnished,Pal Gam Surat,"₹
45 Lac"
2346 sqft,3,N/A,Furnished,"Nakshatra Solitaire, Palanpur Surat","₹
95 Lac"
1900 sqft,3,Apartment,Unfurnished,Dindoli Surat,"₹
53.2 Lac"
750 sqft,2,Apartment,Unfurnished,"Mahaveer Heights, Vesu Surat","₹
59 Lac"
900 sqft,3,Apartment,Unfurnished,"Penttagon, Palanpur Gam Surat","₹
51 Lac"
