Carpet Area,BHK,House Type,Furnishing,Address,Price
1507 sqft,3,Apartment,,"Samanvay Anantam, Akota Vadodara","₹
93 Lac"
4100 sqft,4,Apartment,,"Samasta, Vasna Bhayli Main Road Vadodara","₹
1.80 Cr"
2200 sqft,4,Apartment,,"Florencia, Sevasi Vadodara","₹
1.37 Cr"
2700 sqft,5,Apartment,Furnished,"Shaligram West, Bhayli Vadodara","₹
2.29 Cr"
2052 sqft,4,Apartment,,"Kishan Altis, Bhayli Vadodara","₹
1.25 Cr"
1280 sqft,3,Apartment,,"Everest Axora, Sun Pharma Road Vadodara","₹
66.7 Lac"
1317 sqft,4,Apartment,,"Unity Sapphire, Sevasi Vadodara","₹
71.2 Lac"
1592 sqft,4,Apartment,,"Raamah Spectraa, Alkapuri Vadodara","₹
1.50 Cr"
1490 sqft,3,Apartment,,"Narayan Green Vistas, Sama Savli Road Vadodara","₹
78 Lac"
3650 sqft,4,Apartment,,"Survi Pristine, Manjalpur Vadodara","₹
1.60 Cr"
2100 sqft,5,Apartment,,"Empire Villa, Sama Savli Road Vadodara","₹
98 Lac"
1470 sqft,3,Apartment,,"Madhuvan Space, Harni Vadodara","₹
81.6 Lac"
1260 sqft,3,Apartment,,"Red Coral Hamptons, Gotri Vadodara","₹
83.2 Lac"
2037 sqft,3,Apartment,,"Raamah Shivaay, Manjalpur Vadodara","₹
77.9 Lac"
2396 sqft,4,Apartment,,"Fortune Imperia II, Bhayli Vadodara","₹
2.14 Cr"
2500 sqft,4,Apartment,,"Synnove Atmosphere, Sevasi Vadodara","₹
1.37 Cr"
1653 sqft,3,Apartment,,"Solaris Plus, Vasna Bhayli Main Road Vadodara","₹
50.3 Lac"
2141 sqft,4,Villa,,"Ultima Pearl, Waghodia Road Vadodara","₹
1.15 Cr"
1305 sqft,2,Apartment,,"Samruddhi Prarambh, Waghodia Road Vadodara","₹
23.5 Lac"
1190 sqft,3,Apartment,,"Kamaxi Avenue, Waghodia Road Vadodara","₹
48 Lac"
2200 sqft,4,Apartment,,"Trisha Shivanta, Waghodia Road Vadodara","₹
70.4 Lac"
2450 sqft,5,Villa,,"Shangri La Imperial, Ajwa Road Vadodara","₹
1.41 Cr"
2456 sqft,4,Apartment,,"Mangla Fiorella, Akota Vadodara","₹
1.90 Cr"
4473 sqft,4,Apartment,Unfurnished,"Sorrento Rosette, Bhayli Vadodara","₹
1.88 Cr"
1923 sqft,4,Apartment,Unfurnished,"Param Sapphire, Harni Vadodara","₹
83 Lac"
3950 sqft,4,Apartment,Unfurnished,"Lilleria Oakwoods, Vadsar Vadodara","₹
1.26 Cr"
1191 sqft,3,Apartment,Unfurnished,"Darshanam Grand, Tarsali Vadodara","₹
54.5 Lac"
1185 sqft,2,Apartment,Unfurnished,"Raama Skyz, Vemali Vadodara","₹
39 Lac"
1644 sqft,4,Villa,Unfurnished,"Gracewood Elegance, Bill Vadodara","₹
88 Lac"
2100 sqft,5,House,Semi-Furnished,Old Padra Road Vadodara,"₹
1.70 Cr"
1150 sqft,3,House,Unfurnished,Waghodia Road Vadodara,"₹
74 Lac"
2130 sqft,4,Apartment,Unfurnished,"Shreenath Heights 2, Sama Savli Road Vadodara","₹
1.21 Cr"
2740 sqft,5,Villa,Unfurnished,"Serenity Nest, Sevasi Vadodara","₹
1.80 Cr"
50 sqm,1,N/A,Unfurnished,Ranoli Vadodara,"₹
11 Lac"
815 sqft,2,Apartment,Unfurnished,"Shree Muniji Anand Exotica, Sevasi Vadodara","₹
36 Lac"
1235 sqft,3,Apartment,Unfurnished,"Earth Ambrosia, Vemali Vadodara","₹
55 Lac"
582 sqft,2,Apartment,Furnished,pushpam heights Vadodara,"₹
31 Lac"
1572 sqft,3,Apartment,Unfurnished,"Fortune 361, Sama Vadodara","₹
77 Lac"
865 sqft,2,Apartment,Unfurnished,Chhani Vadodara,"₹
22 Lac"
1150 sqft,3,Apartment,Furnished,"Synnove Palladium, Bhayli Vadodara","₹
87 Lac"
850 sqft,3,Apartment,Semi-Furnished,"Stonegate, Vasna Bhayli Main Road Vadodara","₹
42 Lac"
820 sqyrd,3,Apartment,Semi-Furnished,"Avadh Resicom, Vadsar Vadodara","₹
44 Lac"
2210 sqft,4,Apartment,Unfurnished,"Nilamber Bellissimo 3, Vasna Bhayli Main Road Vadodara","₹
2.80 Cr"
2156 sqft,4,Apartment,Unfurnished,"Samanvay Satgunam, Jetalpur Vadodara","₹
1.65 Cr"
850 sqft,2,Apartment,Unfurnished,Alkapuri Vadodara,"₹
48 Lac"
2600 sqft,5,Apartment,Furnished,New Alkapuri Vadodara,"₹
2.10 Cr"
560 sqft,2,Apartment,Unfurnished,"Samanvay Star City 1, Sun Pharma Road Vadodara","₹
29 Lac"
1050 sqft,3,House,Unfurnished,"Ganga Parvati Duplex, Gotri Vadodara","₹
80 Lac"
1050 sqft,4,House,Furnished,Diwalipura Vadodara,"₹
1.20 Cr"
1848 sqft,2,Villa,Furnished,Karelibaug Vadodara,"₹
1.88 Cr"
935 sqft,3,Apartment,Unfurnished,"Akshar Enclave, Vasna Bhayli Main Road Vadodara","₹
42 Lac"
700 sqft,2,Apartment,Semi-Furnished,"Alembic Veda, Chhani Vadodara","₹
51 Lac"
740 sqft,2,Apartment,Unfurnished,"Madhav Tower, Subhanpura Vadodara","₹
22.5 Lac"
2178 sqft,3,Apartment,Furnished,"Nautilus, Vasna Road Vadodara","₹
1 Cr"
1214 sqft,4,Villa,Unfurnished,Padra Road Vadodara,"₹
1.30 Cr"
